   1 H     1.00797  41724.5     1.67    0.0708
   2 HE    4.00260  10507.4     6.65    0.1220
   3 LI    6.94100   6059.2    11.53    0.5330
   4 BE    9.01220   4666.7    14.97    1.8450
   5 B    10.81100   3890.2    17.95    2.3400
   6 C    12.01100   3501.5    19.95    2.2600
   7 N    14.00670   3002.6    23.26    0.8100
   8 O    15.99940   2628.7    26.57    1.1400
   9 F    18.99840   2213.7    31.55    1.1080
  10 NE   20.17900   2084.2    33.51    1.2070
  11 NA   22.98980   1829.4    38.18    0.9690
  12 MG   24.30500   1730.4    40.36    1.7350
  13 AL   26.98000   1558.8    44.80    2.6941
  14 SI   28.08600   1497.4    46.64    2.3200
  15 P    30.97380   1357.8    51.43    1.8200
  16 S    32.06400   1311.7    53.24    2.0700
  17 CL   35.45300   1186.3    58.87    1.5600
  18 AR   39.94800   1052.8    66.34    1.4000
  19 K    39.09000   1075.9    64.91    0.8600
  20 CA   40.08000   1049.3    66.56    1.5500
  21 SC   44.95600    935.5    74.65    2.9800
  22 TI   47.90000    878.0    79.54    4.5300
  23 V    50.94200    825.6    84.59    6.1000
  24 CR   51.99600    808.9    86.34    7.1800
  25 MN   54.93800    765.5    91.23    7.4300
  26 FE   55.84700    753.1    92.74    7.8600
  27 CO   58.93320    713.6    97.86    8.9000
  28 NI   58.71000    716.4    97.49    8.8760
  29 CU   63.54600    661.8   105.52    8.9400
  30 ZN   65.38000    643.3   108.57    7.1120
  31 GA   69.71999    603.2   115.78    5.8770
  32 GE   72.59000    579.4   120.54    5.3070
  33 AS   74.92159    561.3   124.41    5.7200
  34 SE   78.96000    532.6   131.12    4.7800
  35 BR   79.90900    526.3   132.70    3.1100
  36 KR   83.80000    501.9   139.16    2.6000
  37 RB   85.46999    492.1   141.93    1.5290
  38 SR   87.62000    480.0   145.50    2.5400
  39 Y    88.90500    473.1   147.63    4.4560
  40 ZR   91.21999    461.1   151.48    6.4940
  41 NB   92.90600    452.7   154.28    8.5500
  42 MO   95.93999    438.4   159.32   10.2000
  43 TC   98.90620    425.2   164.24   11.4600
  44 RU  101.07000    416.1   167.83   12.3900
  45 RH  102.90500    408.7   170.88   12.3900
  46 PD  106.39999    395.3   176.69   12.0000
  47 AG  107.87000    389.9   179.13   10.4800
  48 CD  112.39999    374.2   186.65    8.6300
  49 IN  114.82000    366.3   190.67    7.3000
  50 SN  118.68999    354.3   197.09    7.3000
  51 SB  121.75000    345.4   202.18    6.6790
  52 TE  127.60000    329.6   211.89    6.2300
  53 I   126.90440    331.4   210.73    4.9200
  54 XE  131.29999    320.3   218.03    3.5200
  55 CS  132.90500    316.4   220.70    1.8700
  56 BA  137.34000    306.2   228.06    3.5000
  57 LA  138.90999    302.8   230.67    6.1270
  58 CE  140.12000    300.1   232.68    6.6370
  59 PR  140.90768    298.5   233.99    6.7610
  60 ND  144.23999    291.6   239.52    6.9940
  61 PM  145.00000    290.0   240.78    7.2000
  62 SM  150.34999    279.7   249.67    7.5100
  63 EU  151.95999    276.8   252.34    5.2280
  64 GD  157.25000    267.5   261.13    7.8772
  65 TB  158.92400    264.6   263.91    8.2140
  66 DY  162.50000    258.8   269.84    8.5250
  67 HO  164.92999    255.0   273.88    8.7690
  68 ER  167.25999    251.4   277.75    9.0390
  69 TM  168.93399    249.0   280.53    9.2940
  70 YB  173.03999    243.0   287.35    6.9530
  71 LU  174.96999    240.4   290.55    9.8110
  72 HF  178.48999    235.6   296.40   13.2900
  73 TA  180.94800    232.4   300.48   16.6240
  74 W   183.84999    228.8   305.30   19.3000
  75 RE  186.20000    225.9   309.20   20.9800
  76 OS  190.20000    221.1   315.84   22.5300
  77 IR  192.20000    218.8   319.16   22.3900
  78 PT  195.09000    215.6   323.96   21.4100
  79 AU  196.96700    213.5   327.08   18.8500
  80 HG  200.59000    209.7   333.10   13.5220
  81 TL  204.37000    205.8   339.37   11.8300
  82 PB  207.18999    203.0   344.06   11.3300
  83 BI  208.98000    201.2   347.03    9.7300
  84 PO  210.00000    200.3   348.72    9.3000
  85 AT  210.00000    200.3   348.72    0.0
  86 RN  222.00000    189.4   368.65    4.4000
  87 FR  223.00000    188.6   370.31    0.0
  88 RA  226.00000    186.1   375.29    5.0000
  89 AC  227.00000    185.3   376.95   10.0500
  90 TH  232.03799    181.3   385.32   11.7000
  91 PA  231.00000    182.1   383.59   15.3400
  92 U   238.02899    176.7   395.27   18.9200
  93 NP  237.04819    177.4   393.64   20.2100
  94 PU  244.00000    172.4   405.18   19.8000
