 ****** URGENT - Version 3.0 ******

 UNDULATOR : PERIOD = 0.01800  KX =  0.0000  KY =  1.6800  PHASE =    0.0  N = 222

 PHOTON ENERGY RANGE : MIN =      0.000  MAX =      0.000  N =    0

 ELECTRON BEAM : ENERGY =  6.040  CURRENT = 0.200
 SIGX = 0.3950  SIGY = 0.0099  SIGX1 = 0.0105  SIGY1 = 0.0039

 ACCEPTANCE : D =   30.000  XCENTRE =   0.000  YCENTRE =   0.000
 XSIZE =   3.000  YSIZE =   3.000  NXP = 40  NYP = 40

 MODE = 6  ICALC = 1  IHARM =  -200
 NPHI =   0 NSIG =   4 NALPHA =   0 DALPHA =  0.0 NOMEGA =    0 DOMEGA =  0.0

 E1 =   7982.253 EV  LAMDA1 =      1.553 ANGSTROM
 TOTAL POWER =  18413.693 WATTS  POWER DENSITY = 624334.787 WATTS/MRAD**2

 UNITS :
 IRRADIANCE -               PHOTONS/S/MM**2/0.1%BW
 ANGULAR FLUX DENSITY -     PHOTONS/S/MRAD**2/0.1%BW
 BRIGHTNESS -               PHOTONS/S/MRAD*2/MM**2/0.1%BW
 FLUX -                     PHOTONS/S/0.1%BW
 (SPECTRAL) POWER DENSITY - WATTS/MM**2 OR MRAD**2(/EV)
 (SPECTRAL) POWER -         WATTS(/EV)



 ANGULAR DISTRIBUTION - HARMONICS 1 TO 200

  X (MM)    Y (MM)   POWER DENSITY       FLUX

    0.000     0.000   0.685525D+03   0.189016D+18
    0.000     0.037   0.685275D+03   0.188994D+18
    0.000     0.075   0.684499D+03   0.188911D+18
    0.000     0.112   0.682998D+03   0.188715D+18
    0.000     0.150   0.681121D+03   0.188502D+18
    0.000     0.188   0.678686D+03   0.188219D+18
    0.000     0.225   0.675557D+03   0.187827D+18
    0.000     0.263   0.672076D+03   0.187420D+18
    0.000     0.300   0.668046D+03   0.186939D+18
    0.000     0.337   0.663366D+03   0.186354D+18
    0.000     0.375   0.658374D+03   0.185757D+18
    0.000     0.412   0.652800D+03   0.185067D+18
    0.000     0.450   0.646823D+03   0.184332D+18
    0.000     0.487   0.640365D+03   0.183527D+18
    0.000     0.525   0.633453D+03   0.182652D+18
    0.000     0.562   0.626190D+03   0.181736D+18
    0.000     0.600   0.618450D+03   0.180734D+18
    0.000     0.637   0.610498D+03   0.179721D+18
    0.000     0.675   0.602050D+03   0.178611D+18
    0.000     0.713   0.593272D+03   0.177440D+18
    0.000     0.750   0.584342D+03   0.176262D+18
    0.000     0.787   0.574976D+03   0.174986D+18
    0.000     0.825   0.565360D+03   0.173659D+18
    0.000     0.862   0.555615D+03   0.172313D+18
    0.000     0.900   0.545587D+03   0.170902D+18
    0.000     0.938   0.535360D+03   0.169434D+18
    0.000     0.975   0.525051D+03   0.167950D+18
    0.000     1.012   0.514583D+03   0.166419D+18
    0.000     1.050   0.503884D+03   0.164808D+18
    0.000     1.087   0.493228D+03   0.163203D+18
    0.000     1.125   0.482468D+03   0.161553D+18
    0.000     1.162   0.471555D+03   0.159832D+18
    0.000     1.200   0.460748D+03   0.158124D+18
    0.000     1.238   0.449889D+03   0.156373D+18
    0.000     1.275   0.439010D+03   0.154581D+18
    0.000     1.312   0.428168D+03   0.152768D+18
    0.000     1.350   0.417354D+03   0.150925D+18
    0.000     1.387   0.406642D+03   0.149074D+18
    0.000     1.425   0.395978D+03   0.147194D+18
    0.000     1.462   0.385446D+03   0.145308D+18
    0.000     1.500   0.374950D+03   0.143386D+18
    0.037     0.000   0.685467D+03   0.188994D+18
    0.037     0.037   0.685351D+03   0.189006D+18
    0.037     0.075   0.684511D+03   0.188906D+18
    0.037     0.112   0.683005D+03   0.188709D+18
    0.037     0.150   0.681192D+03   0.188513D+18
    0.037     0.188   0.678694D+03   0.188213D+18
    0.037     0.225   0.675563D+03   0.187821D+18
    0.037     0.263   0.672113D+03   0.187422D+18
    0.037     0.300   0.668057D+03   0.186934D+18
    0.037     0.337   0.663411D+03   0.186359D+18
    0.037     0.375   0.658380D+03   0.185751D+18
    0.037     0.412   0.652870D+03   0.185079D+18
    0.037     0.450   0.646828D+03   0.184326D+18
    0.037     0.487   0.640371D+03   0.183521D+18
    0.037     0.525   0.633530D+03   0.182666D+18
    0.037     0.562   0.626195D+03   0.181730D+18
    0.037     0.600   0.618482D+03   0.180737D+18
    0.037     0.637   0.610473D+03   0.179706D+18
    0.037     0.675   0.602083D+03   0.178612D+18
    0.037     0.713   0.593277D+03   0.177434D+18
    0.037     0.750   0.584353D+03   0.176257D+18
    0.037     0.787   0.575041D+03   0.174998D+18
    0.037     0.825   0.565365D+03   0.173654D+18
    0.037     0.862   0.555674D+03   0.172324D+18
    0.037     0.900   0.545653D+03   0.170914D+18
    0.037     0.938   0.535364D+03   0.169429D+18
    0.037     0.975   0.525102D+03   0.167960D+18
    0.037     1.012   0.514587D+03   0.166414D+18
    0.037     1.050   0.503888D+03   0.164803D+18
    0.037     1.087   0.493253D+03   0.163204D+18
    0.037     1.125   0.482468D+03   0.161547D+18
    0.037     1.162   0.471558D+03   0.159827D+18
    0.037     1.200   0.460751D+03   0.158119D+18
    0.037     1.238   0.449898D+03   0.156369D+18
    0.037     1.275   0.438982D+03   0.154567D+18
    0.037     1.312   0.428171D+03   0.152764D+18
    0.037     1.350   0.417421D+03   0.150943D+18
    0.037     1.387   0.406643D+03   0.149069D+18
    0.037     1.425   0.395966D+03   0.147183D+18
    0.037     1.462   0.385443D+03   0.145302D+18
    0.037     1.500   0.374950D+03   0.143381D+18
    0.075     0.000   0.685442D+03   0.188966D+18
    0.075     0.037   0.685273D+03   0.188965D+18
    0.075     0.075   0.684435D+03   0.188865D+18
    0.075     0.112   0.682979D+03   0.188680D+18
    0.075     0.150   0.681114D+03   0.188471D+18
    0.075     0.188   0.678589D+03   0.188164D+18
    0.075     0.225   0.675507D+03   0.187785D+18
    0.075     0.263   0.672063D+03   0.187388D+18
    0.075     0.300   0.667952D+03   0.186885D+18
    0.075     0.337   0.663359D+03   0.186324D+18
    0.075     0.375   0.658326D+03   0.185715D+18
    0.075     0.412   0.652775D+03   0.185032D+18
    0.075     0.450   0.646739D+03   0.184281D+18
    0.075     0.487   0.640290D+03   0.183477D+18
    0.075     0.525   0.633428D+03   0.182619D+18
    0.075     0.562   0.626180D+03   0.181705D+18
    0.075     0.600   0.618430D+03   0.180702D+18
    0.075     0.637   0.610408D+03   0.179669D+18
    0.075     0.675   0.602044D+03   0.178581D+18
    0.075     0.713   0.593253D+03   0.177408D+18
    0.075     0.750   0.584252D+03   0.176209D+18
    0.075     0.787   0.574974D+03   0.174959D+18
    0.075     0.825   0.565341D+03   0.173627D+18
    0.075     0.862   0.555608D+03   0.172286D+18
    0.075     0.900   0.545589D+03   0.170877D+18
    0.075     0.938   0.535341D+03   0.169403D+18
    0.075     0.975   0.525039D+03   0.167923D+18
    0.075     1.012   0.514506D+03   0.166370D+18
    0.075     1.050   0.503865D+03   0.164778D+18
    0.075     1.087   0.493211D+03   0.163175D+18
    0.075     1.125   0.482395D+03   0.161506D+18
    0.075     1.162   0.471548D+03   0.159807D+18
    0.075     1.200   0.460729D+03   0.158096D+18
    0.075     1.238   0.449850D+03   0.156337D+18
    0.075     1.275   0.438945D+03   0.154538D+18
    0.075     1.312   0.428130D+03   0.152734D+18
    0.075     1.350   0.417333D+03   0.150897D+18
    0.075     1.387   0.406606D+03   0.149041D+18
    0.075     1.425   0.395928D+03   0.147155D+18
    0.075     1.462   0.385397D+03   0.145272D+18
