 ****************** Start US v. 1.94 at 2015-05-07 12:21:22 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA   sige   0.0000000
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    9972.1  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      3.000  mm   yps     3.000 mm   nxp        20      nyp        40
 mode         6       method      1      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Power density distribution @  30.000 m (W/mm^2):
 
 Integrated power     4955.5 W
 Contributing harmonics    1 to   26
 
    x(mm)      y(mm)     Power density       p1      p2      p3      p4
    0.0000     0.0000    6.843975E+02     0.997  -0.001   0.000   0.003
    0.0000     0.0375    6.841727E+02     0.997  -0.001   0.000   0.003
    0.0000     0.0750    6.833580E+02     0.996  -0.001   0.000   0.004
    0.0000     0.1125    6.819616E+02     0.995  -0.001   0.000   0.005
    0.0000     0.1500    6.800316E+02     0.993  -0.001   0.000   0.007
    0.0000     0.1875    6.775963E+02     0.991  -0.001   0.000   0.009
    0.0000     0.2250    6.746020E+02     0.988  -0.001   0.000   0.012
    0.0000     0.2625    6.710557E+02     0.984  -0.002   0.000   0.016
    0.0000     0.3000    6.670295E+02     0.981  -0.002   0.000   0.019
    0.0000     0.3375    6.624954E+02     0.976  -0.002   0.000   0.024
    0.0000     0.3750    6.574711E+02     0.971  -0.002   0.000   0.029
    0.0000     0.4125    6.519257E+02     0.966  -0.003   0.000   0.034
    0.0000     0.4500    6.460009E+02     0.961  -0.003   0.000   0.039
    0.0000     0.4875    6.395825E+02     0.955  -0.003   0.000   0.045
    0.0000     0.5250    6.327073E+02     0.948  -0.003   0.000   0.052
    0.0000     0.5625    6.254860E+02     0.941  -0.004   0.000   0.058
    0.0000     0.6000    6.178706E+02     0.934  -0.004   0.000   0.066
    0.0000     0.6375    6.098633E+02     0.927  -0.004   0.000   0.073
    0.0000     0.6750    6.014813E+02     0.920  -0.004   0.000   0.080
    0.0000     0.7125    5.928179E+02     0.912  -0.005   0.000   0.088
    0.0000     0.7500    5.838339E+02     0.904  -0.005   0.000   0.096
    0.0000     0.7875    5.745550E+02     0.895  -0.005   0.000   0.104
    0.0000     0.8250    5.649926E+02     0.887  -0.005   0.000   0.113
