 ****************** Start WS v. 1.61 at 2014-10-14 09:05:28 ******************
 
 Wiggler A at APS
 energy   7.000 GeV   current 100.0 mA
 period   8.500  cm   N        28.0      Kx      0.000      Ky      8.740
 emin    1000.0  eV   emax 100000.0 eV   ne       2000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      2.000  mm   yps     2.000 mm   nxp        10      nyp        10
 
 b0       1.101   T   ec0    35.884  keV
 e1      139.67  eV   l1     88.767  A
 ptot    8947.6   W   pd       89.1  W/mm^2
 
 Flux through   2.000 mm x  2.000 mm pinhole at  0.000 mm,  0.000 mm @ 30.000 m:
 Integrated flux   6.642E+16 ph/s
 Integrated power     262.21 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)    p1      p2      p3      p4
   1000.000   4.326522E+012     0.982   0.000   0.000   0.018
   1049.525   4.466798E+012     0.982   0.000   0.000   0.018
   1099.050   4.604711E+012     0.981   0.000   0.000   0.019
   1148.574   4.740390E+012     0.981   0.000   0.000   0.019
   1198.099   4.873955E+012     0.981   0.000   0.000   0.019
   1247.624   5.005511E+012     0.980   0.000   0.000   0.020
   1297.149   5.135157E+012     0.980   0.000   0.000   0.020
   1346.673   5.262981E+012     0.979   0.000   0.000   0.021
   1396.198   5.389064E+012     0.979   0.000   0.000   0.021
   1445.723   5.513479E+012     0.978   0.000   0.000   0.022
   1495.248   5.636297E+012     0.978   0.000   0.000   0.022
   1544.772   5.757579E+012     0.977   0.000   0.000   0.023
   1594.297   5.877384E+012     0.977   0.000   0.000   0.023
   1643.822   5.995767E+012     0.977   0.000   0.000   0.023
   1693.347   6.112778E+012     0.976   0.000   0.000   0.024
   1742.871   6.228465E+012     0.976   0.000   0.000   0.024
   1792.396   6.342871E+012     0.976   0.000   0.000   0.024
   1841.921   6.456038E+012     0.975   0.000   0.000   0.025
   1891.446   6.568005E+012     0.975   0.000   0.000   0.025
   1940.970   6.678807E+012     0.974   0.000   0.000   0.026
   1990.495   6.788479E+012     0.974   0.000   0.000   0.026
   2040.020   6.897054E+012     0.974   0.000   0.000   0.026
   2089.545   7.004562E+012     0.973   0.000   0.000   0.027
   2139.070   7.111031E+012     0.973   0.000   0.000   0.027
   2188.594   7.216489E+012     0.973   0.000   0.000   0.027
   2238.119   7.320962E+012     0.972   0.000   0.000   0.028
   2287.644   7.424475E+012     0.972   0.000   0.000   0.028
   2337.169   7.527050E+012     0.972   0.000   0.000   0.028
   2386.693   7.628710E+012     0.971   0.000   0.000   0.029
   2436.218   7.729477E+012     0.971   0.000   0.000   0.029
   2485.743   7.829370E+012     0.971   0.000   0.000   0.029
   2535.268   7.928408E+012     0.971   0.000   0.000   0.029
   2584.792   8.026611E+012     0.970   0.000   0.000   0.030
   2634.317   8.123995E+012     0.970   0.000   0.000   0.030
   2683.842   8.220578E+012     0.970   0.000   0.000   0.030
   2733.367   8.316375E+012     0.969   0.000   0.000   0.031
   2782.891   8.411403E+012     0.969   0.000   0.000   0.031
   2832.416   8.505675E+012     0.969   0.000   0.000   0.031
   2881.941   8.599207E+012     0.969   0.000   0.000   0.031
   2931.466   8.692012E+012     0.968   0.000   0.000   0.032
   2980.990   8.784103E+012     0.968   0.000   0.000   0.032
   3030.515   8.875493E+012     0.968   0.000   0.000   0.032
   3080.040   8.966194E+012     0.967   0.000   0.000   0.033
   3129.565   9.056218E+012     0.967   0.000   0.000   0.033
   3179.090   9.145577E+012     0.967   0.000   0.000   0.033
   3228.614   9.234280E+012     0.967   0.000   0.000   0.033
   3278.139   9.322340E+012     0.966   0.000   0.000   0.034
   3327.664   9.409765E+012     0.966   0.000   0.000   0.034
   3377.189   9.496567E+012     0.966   0.000   0.000   0.034
   3426.713   9.582754E+012     0.966   0.000   0.000   0.034
   3476.238   9.668336E+012     0.965   0.000   0.000   0.035
   3525.763   9.753322E+012     0.965   0.000   0.000   0.035
   3575.288   9.837720E+012     0.965   0.000   0.000   0.035
   3624.812   9.921539E+012     0.965   0.000   0.000   0.035
   3674.337   1.000479E+013     0.964   0.000   0.000   0.036
   3723.862   1.008747E+013     0.964   0.000   0.000   0.036
   3773.387   1.016960E+013     0.964   0.000   0.000   0.036
   3822.911   1.025118E+013     0.964   0.000   0.000   0.036
   3872.436   1.033223E+013     0.963   0.000   0.000   0.037
   3921.961   1.041273E+013     0.963   0.000   0.000   0.037
   3971.486   1.049271E+013     0.963   0.000   0.000   0.037
   4021.011   1.057218E+013     0.963   0.000   0.000   0.037
   4070.535   1.065112E+013     0.963   0.000   0.000   0.037
   4120.060   1.072956E+013     0.962   0.000   0.000   0.038
   4169.585   1.080750E+013     0.962   0.000   0.000   0.038
   4219.110   1.088495E+013     0.962   0.000   0.000   0.038
   4268.634   1.096190E+013     0.962   0.000   0.000   0.038
   4318.159   1.103837E+013     0.962   0.000   0.000   0.038
   4367.684   1.111437E+013     0.961   0.000   0.000   0.039
   4417.209   1.118989E+013     0.961   0.000   0.000   0.039
   4466.733   1.126494E+013     0.961   0.000   0.000   0.039
   4516.258   1.133953E+013     0.961   0.000   0.000   0.039
